Rank,Grade,Username,Uploads,Subscribers,Views,Category,Estimated Revenue ($)
1st,A+,MrBeast,815,315000000.0,58787534945.0,entertainment,176362604.835
2nd,A++,T-Series,"21,685",274000000.0,266256222520.0,music,798768667.5600001
4th,A++,Cocomelon - Nursery Rhymes,"1,267",182000000.0,188549400040.0,education,565648200.12
5th,A+,SET India,"1,44,565",177000000.0,169545121160.0,entertainment,508635363.48
6th,A,✿ Kids Diana Show,"1,252",125000000.0,105760672875.0,entertainment,317282018.625
7th,A+,Vlad and Niki,760,124000000.0,94987599513.0,entertainment,284962798.539
9th,A+,Like Nastya,902,120000000.0,104536858996.0,entertainment,313610576.98800004
10th,B+,PewDiePie,"4,785",111000000.0,29394281856.0,games,88182845.56799999
11th,A,Zee Music Company,"12,080",110000000.0,69428727824.0,music,208286183.472
12th,A,WWE,"78,968",104000000.0,88053161216.0,sports,264159483.648
13th,A,Goldmines,"8,800",99900000.0,29620695814.0,film,88862087.442
14th,A+,Sony SAB,"90,918",95600000.0,119778489536.0,entertainment,359335468.608
15th,A,BLACKPINK,603,94800000.0,36756090437.0,music,110268271.31099999
17th,A,ChuChu TV Nursery Rhymes & Kids So…,813,93000000.0,52362528648.0,education,157087585.944
18th,A+,Stokes Twins,320,88900000.0,13368216024.0,people,40104648.072
19th,A,Zee TV,"1,82,661",83900000.0,93886281019.0,entertainment,281658843.057
20th,A-,5-Minute Crafts,"7,244",80800000.0,27677186528.0,howto,83031559.584
21st,B-,BANGTANTV,"2,594",78900000.0,23438375239.0,music,70315125.71700001
22nd,A,Baby Shark - Pinkfong Kids’ Song…,"3,311",77600000.0,45626858865.0,education,136880576.595
23rd,A,Colors TV,"1,64,399",75900000.0,74289327653.0,entertainment,222867982.959
24th,A,HYBE LABELS,"2,044",75700000.0,35881441512.0,music,107644324.53600001
26th,A,Justin Bieber,249,73500000.0,32963369076.0,music,98890107.228
27th,A,T-Series Bhakti Sagar,"28,605",70000000.0,35452153098.0,music,106356459.294
28th,A-,Shemaroo Filmi Gaane,"8,759",69500000.0,29949760992.0,music,89849282.976
29th,A,Tips Official,"6,305",68700000.0,40975300678.0,music,122925902.03400001
30th,A-,Canal KondZilla,"2,874",67300000.0,38584282290.0,music,115752846.87
31st,A,Aaj Tak,"3,90,793",67300000.0,33857602820.0,news,101572808.46000001
32nd,A,A4,947,66800000.0,30581509451.0,entertainment,91744528.353
33rd,B+,El Reino Infantil,"1,544",65900000.00000001,62114025836.0,music,186342077.50800002
34th,A,Infobells - Hindi,703,64500000.0,37766094901.0,education,113298284.70300001
35th,A,ZAMZAM ELECTRONICS TRADING,"18,476",64300000.0,31206434017.0,people,93619302.051
36th,A-,Wave Music,"20,407",62800000.0,43355112655.0,music,130065337.965
37th,A++,Toys and Colors,"1,319",62200000.0,73150033205.0,entertainment,219450099.615
38th,A,Movieclips,"41,176",62100000.0,63220176621.0,film,189660529.863
39th,A,EminemMusic,195,61800000.0,31281185723.0,music,93843557.169
