Rank,Grade,Username,Uploads,Subscribers,Views,Category,Estimated Revenue ($)
1st,A+,MrBeast,815,315000000,58787534945,entertainment,176362604.8
2nd,A++,T-Series,"21,685",274000000,2.66256E+11,music,798768667.5600001
4th,A++,Cocomelon - Nursery Rhymes,"1,267",182000000,1.88549E+11,education,565648200.1
5th,A+,SET India,"1,44,565",177000000,1.69545E+11,entertainment,508635363.5
6th,A,✿ Kids Diana Show,"1,252",125000000,1.05761E+11,entertainment,317282018.6
7th,A+,Vlad and Niki,760,124000000,94987599513,entertainment,284962798.5
9th,A+,Like Nastya,902,120000000,1.04537E+11,entertainment,313610576.98800004
10th,B+,PewDiePie,"4,785",111000000,29394281856,games,88182845.56799999
11th,A,Zee Music Company,"12,080",110000000,69428727824,music,208286183.5
12th,A,WWE,"78,968",104000000,88053161216,sports,264159483.6
13th,A,Goldmines,"8,800",99900000,29620695814,film,88862087.44
14th,A+,Sony SAB,"90,918",95600000,1.19778E+11,entertainment,359335468.6
15th,A,BLACKPINK,603,94800000,36756090437,music,110268271.31099999
17th,A,ChuChu TV Nursery Rhymes & Kids So…,813,93000000,52362528648,education,157087585.9
18th,A+,Stokes Twins,320,88900000,13368216024,people,40104648.07
19th,A,Zee TV,"1,82,661",83900000,93886281019,entertainment,281658843.1
20th,A-,5-Minute Crafts,"7,244",80800000,27677186528,howto,83031559.58
21st,B-,BANGTANTV,"2,594",78900000,23438375239,music,70315125.71700001
22nd,A,Baby Shark - Pinkfong Kids’ Song…,"3,311",77600000,45626858865,education,136880576.6
23rd,A,Colors TV,"1,64,399",75900000,74289327653,entertainment,222867983
24th,A,HYBE LABELS,"2,044",75700000,35881441512,music,107644324.53600001
26th,A,Justin Bieber,249,73500000,32963369076,music,98890107.23
27th,A,T-Series Bhakti Sagar,"28,605",70000000,35452153098,music,106356459.3
28th,A-,Shemaroo Filmi Gaane,"8,759",69500000,29949760992,music,89849282.98
29th,A,Tips Official,"6,305",68700000,40975300678,music,122925902.03400001
30th,A-,Canal KondZilla,"2,874",67300000,38584282290,music,115752846.9
31st,A,Aaj Tak,"3,90,793",67300000,33857602820,news,101572808.46000001
32nd,A,A4,947,66800000,30581509451,entertainment,91744528.35
33rd,B+,El Reino Infantil,"1,544",65900000.00000001,62114025836,music,186342077.50800002
34th,A,Infobells - Hindi,703,64500000,37766094901,education,113298284.70300001
35th,A,ZAMZAM ELECTRONICS TRADING,"18,476",64300000,31206434017,people,93619302.05
36th,A-,Wave Music,"20,407",62800000,43355112655,music,130065338
37th,A++,Toys and Colors,"1,319",62200000,73150033205,entertainment,219450099.6
38th,A,Movieclips,"41,176",62100000,63220176621,film,189660529.9
39th,A,EminemMusic,195,61800000,31281185723,music,93843557.17
40th,B-,Sony Music India,"5,359",61800000,31308998532,music,93926995.6
41st,A,UR · Cristiano,37,61800000,479504120,sports,1438512.3599999999
42nd,A,YRF,"4,207",61600000,42957848363,music,128873545.08899999
43rd,B+,Dude Perfect,448,60400000,17721132884,sports,53163398.651999995
44th,A,Taylor Swift,274,60000000,36540766165,music,109622298.5
45th,A+,HAR PAL GEO,"1,42,992",59300000,59141513277,entertainment,177424539.8
46th,A+,Alan Chikin Chow,"1,325",58300000,45572671892,entertainment,136718015.7
47th,A,LooLoo Kids - Nursery Rhymes and C…,892,58000000,35509509919,music,106528529.8
48th,A-,Marshmello,491,57400000,16062280232,music,48186840.7
49th,B-,Billion Surprise Toys,"1,074",57300000,11415745339,education,34247236.02
50th,A++,김프로KIMPRO,"3,412",57000000,47965397400,people,143896192.2
51st,A+,ARY Digital HD,"1,47,829",56900000,55246165528,entertainment,165738496.6
52nd,A,Mark Rober,172,56800000,7497898637,tech,22493695.91
53rd,A,Fede Vigevani,"1,376",56200000,15870240755,entertainment,47610722.27
54th,A-,PANDA BOI,"1,116",55600000,24852581639,comedy,74557744.92
55th,A+,KL BRO Biju Rithvik,"2,722",55400000,45925091732,entertainment,137775275.2
56th,A-,Shemaroo,"12,740",55100000,25133025355,entertainment,75399076.07
57th,B-,Ed Sheeran,520,55100000,33092273534,music,99276820.6
58th,A,Ariana Grande,204,54600000,26748920529,music,80246761.59
59th,A,YOLO AVENTURAS,"2,507",53200000,17899379298,sports,53698137.89
60th,A,Billie Eilish,131,52800000,16721854359,music,50165563.08
61st,A-,Get Movies,"3,384",52300000,33698466121,film,101095398.4
62nd,A-,Mikecrack,"2,057",52200000,19139408341,games,57418225.022999994
63rd,A,SonyMusicIndiaVEVO,"3,756",52000000,32072908326,music,96218724.98
64th,A-,Jess No Limit,"2,885",51700000,6812079985,entertainment,20436239.955000002
65th,A-,आचार्य प्रशा…,"11,179",51500000,2942743927,education,8828231.781
66th,A-,JuegaGerman,"2,220",51100000,15819614593,games,47458843.78
67th,A,Маша и Медведь,"1,895",50100000,41832463170,education,125497389.5
68th,A-,ABS-CBN Entertainment,"2,33,936",49500000,55756059968,entertainment,167268179.9
69th,A-,BETER BÖCÜK,"4,392",49100000,29062131927,entertainment,87186395.78
70th,A,Masha and The Bear,"1,626",49100000,29347810166,film,88043430.5
71st,A,Alejo Igoa,"1,108",48200000,18723117600,entertainment,56169352.800000004
72nd,A,Bad Bunny,155,48100000,36087876429,music,108263629.3
73rd,B+,Fernanfloo,546,47900000,10668978108,games,32006934.323999997
74th,B,Voot Kids,"6,220",47700000,22951592160,entertainment,68854776.48
75th,B+,Badabun,"23,454",47600000,19850780132,entertainment,59552340.4
76th,A++,StarPlus,"1,06,188",47400000,50016898792,entertainment,150050696.37600002
77th,B+,Ricis Official,"4,579",47100000,8027002797,entertainment,24081008.391000003
78th,B-,Shakira,360,46800000,30960869965,howto,92882609.9
79th,B+,Felipe Neto,"5,140",46600000,17973160123,entertainment,53919480.37
80th,A,LUCCAS NETO - LUCCAS TOON,"2,905",46600000,26987792486,entertainment,80963377.46
81st,A,Ishtar Music,"4,693",46400000,20239785758,music,60719357.274000004
82nd,A,shfa2 - شفا,"1,809",46000000,28976829479,people,86930488.43699999
83rd,A,Saregama Music,"9,303",46000000,21842195297,music,65526585.890999995
84th,A-,MrBeast 2,116,45800000,7557174892,people,22671524.68
85th,A-,Alan Walker,619,45800000,14547535680,music,43642607.04
86th,A,Real fools shorts official,602,45700000,20882347521,people,62647042.56300001
87th,B+,Você Sabia?,"1,685",45700000,8100958927,entertainment,24302876.78
88th,B+,Kimberly Loaiza,314,45600000,6747342620,people,20242027.86
89th,B+,MrBeast Gaming,141,45300000,8187870123,games,24563610.37
90th,A,Katy Perry,165,45300000,27067800059,music,81203400.18
91st,A,ABP NEWS,"4,08,053",45100000,18409344309,news,55228032.93
92nd,A,shfa,"1,162",45000000,26449828756,people,79349486.27
93rd,A,Maria Clara & JP,850,44800000,29101344576,entertainment,87304033.73
94th,A-,Speed Records,"11,686",44800000,29680567396,music,89041702.18800001
95th,A,Dushyant kukreja,"1,270",44700000,27733467768,entertainment,83200403.30399999
96th,B+,whinderssonnunes,824,44700000,4557038440,comedy,13671115.32
97th,B+,BRIGHT SIDE,"8,585",44600000,11258531185,entertainment,33775593.56
98th,A,Sony PAL,"29,622",44200000,33940889706,entertainment,101822669.1
99th,B,HolaSoyGerman.,136,44000000,4904702015,entertainment,14714106.044999998
100th,A-,Like Nastya Show,741,43700000,20844550901,entertainment,62533652.7
101st,A,DaFuq!?Boom!,298,43700000,17557698078,entertainment,52673094.234000005
102nd,A,Rihanna,88,43600000,24831186572,music,74493559.72
103rd,A,Topper Guild,"1,033",43500000,20135988042,entertainment,60407964.13
104th,B+,Total Gaming,511,43400000,4507461673,games,13522385.019000001
105th,A,Goldmines Gaane Sune Ansune,"3,916",43400000,19782737589,music,59348212.767000005
106th,B+,CarryMinati,199,43200000,3923701186,comedy,11771103.56
107th,B+,Luisito Comunica,"1,377",43200000,9993402773,entertainment,29980208.32
108th,A,IndiaTV,"3,17,001",42900000,21342288484,news,64026865.45200001
109th,A,Shorts Break,662,42700000,30202611473,comedy,90607834.42
110th,A,Super Simple Songs - Kids Songs,805,42500000,52360216902,education,157080650.7
111th,A+,Alfredo Larin,"1,850",42500000,34864661805,entertainment,104593985.41499999
112th,A,PowerKids TV,"8,332",42500000,22639970686,film,67919912.06
113th,A,HUM TV,"1,52,790",42400000,36055466005,entertainment,108166398.01500002
114th,A,Zhong,"1,804",42400000,17624767338,entertainment,52874302.01
115th,A,Genevieve's Playhouse - Learning V…,648,42300000,32181834073,film,96545502.22
116th,A,Techno Gamerz,"1,059",42300000,12379707884,games,37139123.651999995
117th,A-,AboFlah,733,42300000,6341883825,entertainment,19025651.48
118th,A,T-Series Bollywood Classics,"2,080",42300000,28011477533,music,84034432.6
119th,B+,MR. INDIAN HACKER,"1,036",42100000,7319514365,tech,21958543.1
120th,A++,Anaya Kandhal,"1,596",41900000,39119812392,entertainment,117359437.2
121st,A,ISSEI / いっせい,"2,989",41800000,31736856605,entertainment,95210569.82
122nd,A-,TheDonato,"3,630",41700000,7824082563,games,23472247.69
123rd,A-,Ultra Bollywood,"9,633",41500000,16626417328,entertainment,49879251.98
124th,B+,TEDx Talks,"2,21,853",41500000,8015240383,nonprofit,24045721.15
125th,A,WorkpointOfficial,"89,338",41500000,39317245475,entertainment,117951736.42500001
126th,B+,YouTube,782,41500000,2755696282,entertainment,8267088.846000001
127th,A,ช่อง one31,"1,53,731",41200000,29422373838,entertainment,88267121.51
128th,A,GR6 EXPLODE,"3,242",41200000,28266710783,music,84800132.35
129th,A-,Vlad và Niki,627,41000000,26003697565,entertainment,78011092.69500001
130th,A,La Granja de Zenón,799,41000000,32494907551,music,97484722.65
131st,A,Little Baby Bum - Nursery Rhymes &…,"2,754",41000000,40917155923,education,122751467.8
132nd,A-,Like Nastya ESP,887,41000000,20471326003,entertainment,61413978.008999996
133rd,B-,XXXTENTACION,135,40800000,11183965941,music,33551897.82
134th,A-,Jingle Toons,261,40600000,13481200289,film,40443600.87
135th,B,elrubiusOMG,708,40400000,7512399863,games,22537199.59
136th,A,Akshay Nagwadiya,983,40100000,12725129751,entertainment,38175389.25
137th,A-,Frost Diamond,"3,495",39800000,9881616545,entertainment,29644849.634999998
138th,A,LankyBox,"12,281",39800000,45172763328,games,135518290
139th,A,Daddy Yankee,566,39200000,25122645349,music,75367936.04699999
140th,A,Zach King,693,38800000,16687583218,entertainment,50062749.65
141st,B-,One Direction,157,38700000,14482655398,music,43447966.19
142nd,A,Enaldinho,"4,508",38600000,17025112985,entertainment,51075338.96
143rd,A,BabyBus - Kids Songs and Cartoons,"2,524",38500000,29780770126,education,89342310.37799999
144th,A-,Bruno Mars,100,38400000,21667680930,music,65003042.79
145th,A-,Gulshan Kalra,714,38300000,17058399657,entertainment,51175198.97
146th,B+,TheEllenShow,"17,234",38300000,23302739218,entertainment,69908217.65
147th,A,Priyal Kukreja,"1,152",38200000,23458342938,people,70375028.81400001
148th,B+,Jkk Entertainment,240,38100000,17087950154,comedy,51263850.46
149th,B-,Jason Derulo,"2,492",38100000,20008104942,music,60024314.826000005
150th,A,Heroindori,697,38000000,13867983425,entertainment,41603950.275000006
151st,A-,Juan De Dios Pantoja,415,38000000,4698583361,people,14095750.082999999
152nd,A,Ryan's World,"2,999",37800000,58468937852,entertainment,175406813.6
153rd,A,KAROL G,161,37700000,25404568549,music,76213705.65
154th,A,WowKidz,"9,916",37700000,20553436891,entertainment,61660310.67299999
155th,A+,Dangal TV Channel,"34,318",37600000,25653590736,entertainment,76960772.21
156th,A,LeoNata Family,"3,638",37500000,39628862192,people,118886586.6
157th,A,Zee News,"1,88,163",37500000,23220597830,news,69661793.49
158th,A-,Junya.じゅんや,"8,759",37400000,22724450549,entertainment,68173351.65
159th,A-,T-Series Apna Punjab,"8,749",37300000,24340337408,music,73021012.22
160th,A,Maroon 5,185,37100000,24591928331,music,73775784.99
161st,A,Ozuna,245,37000000,25462192242,music,76386576.73
162nd,A-,Markiplier,"5,646",37000000,21840766434,games,65522299.3
163rd,A-,Hamster Kombat,214,37000000,1084091976,people,3252275.9280000003
164th,A-,Diana and Roma ESP,689,37000000,15320518609,entertainment,45961555.83
165th,A-,Rajshri,"4,630",37000000,17082613254,entertainment,51247839.76
166th,A,★ Kids Roma Show,729,37000000,15036344090,entertainment,45109032.269999996
167th,A,Peppa Pig - Official Channel,"7,467",36700000,26874887247,education,80624661.74
168th,A,Masha y el Oso,"1,528",36700000,18301596570,film,54904789.71
169th,A+,Celine Dept,972,36600000,21736826695,sports,65210480.09
170th,A-,CVS 3D Rhymes & Kids Songs,338,36600000,22378848407,education,67136545.22
171st,A,Galinha Pintadinha,66,36600000,33769558050,music,101308674.14999999
172nd,A++,GMA  Network,"1,55,922",36400000,29972613193,entertainment,89917839.58
173rd,A,Spider Slack,"1,338",36400000,20808325952,comedy,62424977.86
174th,A,unknown boy varun,780,36300000,15100265124,music,45300795.37
175th,A,tuzelity SHUFFLE,"1,112",36200000,15080087769,people,45240263.31
176th,A-,Lucas and Marcus,"1,916",36100000,15026553013,entertainment,45079659.039000005
178th,A,The Weeknd,180,36000000,28563846205,music,85691538.62
179th,A,Marta and Rustam,"1,229",35600000,29864755885,comedy,89594267.66
180th,A,DisneyMusicVEVO,"2,498",35500000,33163811435,music,99491434.30499999
181st,B+,Geet MP3,746,35500000,13932033103,music,41796099.31
182nd,A-,Worldwide Records Bhojpuri,"7,325",35400000,18546249207,music,55638747.62099999
183rd,A-,Ch3Thailand,"82,017",35400000,23377177336,entertainment,70131532.01
184th,A,Karla Bustillos,"1,237",35400000,9249899915,entertainment,27749699.744999997
185th,A,dednahype,"3,424",35100000,31087481610,comedy,93262444.83
186th,A+,MaviGadget,"5,344",34800000,30870808077,entertainment,92612424.23
187th,B-,Selena Gomez,193,34700000,14278746607,music,42836239.82
188th,B+,Beast Reacts,238,34600000,6306381180,entertainment,18919143.54
189th,A-,SSSniperWolf,"3,643",34600000,25432717633,entertainment,76298152.9
190th,B-,J Balvin,249,34500000,24487511238,music,73462533.71
191st,A-,mujjuu___14,"1,152",34300000,19356120721,people,58068362.16
192nd,A-,Willie Salim,"1,066",34300000,5924527958,people,17773583.873999998
193rd,A,Aditya Movies,"8,347",34300000,13475987757,film,40427963.27
194th,A-,Eros Now Music,"9,733",34300000,18079794854,entertainment,54239384.56199999
195th,B+,Round2hell,69,34300000,3518938586,entertainment,10556815.758000001
196th,A-,Ian Lucas,481,34100000,3790582574,people,11371747.72
197th,B+,VEGETTA777,"8,098",34100000,15881220550,games,47643661.650000006
198th,B+,Desi Music Factory,295,33900000,10730012809,music,32190038.43
199th,B+,KHANDESHI MOVIES,239,33900000,11802930911,comedy,35408792.73
200th,B+,Pokémon Asia Official (Hindi),351,33900000,1894009876,film,5682029.628
201st,A-,व्लाद और निक�…,644,33800000,19620924849,entertainment,58862774.55
202nd,B+,NoCopyrightSounds,"1,784",33800000,11311160066,music,33933480.2
203rd,B+,rezendeevil,"12,295",33800000,13627012083,entertainment,40881036.25
204th,B+,Mr Bean,"3,614",33700000,11382463670,comedy,34147391.01
205th,A-,Shemaroo Movies,"3,507",33700000,9243241642,film,27729724.926000003
206th,A,Tilak,"10,934",33400000,13428090137,film,40284270.41
207th,A,Sagawa /さがわ,"8,884",33299999.999999996,26551867471,entertainment,79655602.41
208th,A,That Little Puff,972,33299999.999999996,28159999841,animals,84479999.52
209th,A-,Brent Rivera,681,33000000,9083272088,entertainment,27249816.26
210th,B+,DONA 도나,175,33000000,22544887993,entertainment,67634663.98
211th,A,Aditya Music,"24,330",33000000,30960346056,music,92881038.16800001
212th,A-,NichLmao,"1,126",32900000,17693729590,people,53081188.769999996
